Rank,Address,Address_Nametag,Unique Tokens,Quantity,Percentage
"1","0x000000000000000000000000000000000000dead","Null: 0x00...dEaD","51,077","-","0.0000%"
"2","0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03","Bored Ape Yacht Club: Deployer","13,307","-","0.0000%"
"3","0xd6a984153acb6c9e2d788f08c2465a1358bb89a7","","12,324","-","0.0000%"
"4","0x4a27169d019ad5a18c97d1f8731280475af40dd4","","10,135","-","0.0000%"
"5","0x92f4937c03a5dd90f5382ea593c9f7f3ae1d23a5","","7,519","-","0.0000%"
"6","0x2c34e1c9d11c0e0dfc8f3334e6dd03a7c1166055","","6,297","-","0.0000%"
"7","0x6d1c18bccde60142af23a3f8aa6f5f59c532a675","adidas Originals: Deployer","5,803","-","0.0000%"
"8","0x12ea19217c65f36385bb030d00525c1034e2f0af","RTFKT: Deployer 2","5,228","-","0.0000%"
"9","0x996e1d4ce3e1e558889832832004b2466153adbe","barn.harv.eth","5,123","-","0.0000%"
"10","0x9056d15c49b19df52ffad1e6c11627f035c0c960","Mutant Ape Yacht Club: Deployer","4,626","-","0.0000%"
"11","0xb4e62d6363f82e0e74e8963828815f907eab2c66","","4,575","-","0.0000%"
"12","0xe0036fb4b5a3b232acfc01fec3bd1d787a93da75","Sound.xyz: Deployer","4,303","-","0.0000%"
"13","0xa858ddc0445d8131dac4d1de01f834ffcba52ef1","Yuga Labs","3,821","-","0.0000%"
"14","0xeea89c8843e8beb56e411bb4cac6dbc2d937ee1d","","3,120","-","0.0000%"
"15","0xd7e5e1c0cb9540669d8f22f71c9540460db23938","MoodRollers: Deployer","2,661","-","0.0000%"
"16","0x88f7cadd37a6b030b0ee7efe90b283e1be947054","","2,587","-","0.0000%"
"17","0x623fc4f577926c0aadaef11a243754c546c1f98c","RTFKT: Deployer","2,361","-","0.0000%"
"18","0xae4d837caa0c53579f8a156633355df5058b02f3","","2,236","-","0.0000%"
"19","0xa218c4f6814d18b8b6db1dae854a6eee92dc3769","","1,952","-","0.0000%"
"20","0x37ceb4ba093d40234c6fb312d9791b67c04ef49a","","1,775","-","0.0000%"
"21","0x6c54d92e15cdd55af5167ae7454a2409de1b05c7","The Walking Dead Official: Deployer","1,648","-","0.0000%"
"22","0x5e070c24af683ef391e93bc161ffb6d2326843b5","talkingnft.eth","1,625","-","0.0000%"
"23","0xd45058bf25bbd8f586124c479d384c8c708ce23a","Azuki: Deployer","1,610","-","0.0000%"
"24","0xe21dc18513e3e68a52f9fcdacfd56948d43a11c6","","1,604","-","0.0000%"
"25","0xb104371d5a2680fb0d47ea9a3aa2348392454186","cadboros.eth","1,586","-","0.0000%"
"26","0xee5280e9eb7b9d33ca03332db7382b24f4a2d009","terito.eth","1,516","-","0.0000%"
"27","0xaf1ff5cf6a299707a537f9ec70b8229460ee6110","","1,449","-","0.0000%"
"28","0xa09317b852540553fb057aa4266bea1bb55de368","","1,328","-","0.0000%"
"29","0x62ac2dbbd306610ff8652b9e0d1a310b6c6afa0f","goblintown: Deployer","1,324","-","0.0000%"
"30","0xce90a7949bb78892f159f428d0dc23a8e3584d75","CozomoMedici","1,276","-","0.0000%"
"31","0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459","Pranksy","1,119","-","0.0000%"
"32","0x6244ccf4b0d9896dedc15f647f08e27f717fef3e","jcwage.eth","1,054","-","0.0000%"
"33","0x14977b0dbe7e155f9907effecbb70c9b7a05e737","techbubble.eth","1,034","-","0.0000%"
"34","0x7bfb9f99d1cf298824089dc645333a1044256e57","","1,017","-","0.0000%"
"35","0xf0d6999725115e3ead3d927eb3329d63afaec09b","gmoney.eth","1,014","-","0.0000%"
"36","0xd0ca0380f7f818132352f6ddb9b1a3ddb601a91d","","999","-","0.0000%"
"37","0x6c8984baf566db08675310b122bf0be9ea269eca","","979","-","0.0000%"
"38","0xab4273e7137f9531fcb47d558d9bab0e726e6937","cryptinish.eth","977","-","0.0000%"
"39","0xc4505db8cc490767fa6f4b6f0f2bdd668b357a5d","Neymar Jr (EneJayVault)","969","-","0.0000%"
"40","0xcc03c4ca24abab228b79fc6f98834a6e5638336a","","964","-","0.0000%"
"41","0x14f1e75581d8e10ca2975cb7f2134129fb0ba10c","NonconformistDucks: Deployer","958","-","0.0000%"
"42","0xe4bbcbff51e61d0d95fcc5016609ac8354b177c4","Steve Aoki","913","-","0.0000%"
"43","0xff0bd4aa3496739d5667adc10e2b843dfab5712b","Logan Paul","896","-","0.0000%"
"44","0x9de4447058908337399c2a9c7e4566efed39d26b","","884","-","0.0000%"
"45","0x8888888888e9997e64793849389a8faf5e8e547c","","860","-","0.0000%"
"46","0x7a9fe22691c811ea339d9b73150e6911a5343dca","","848","-","0.0000%"
"47","0xb3f0771103120f80ee3f2fdedf9c856a3af683b1","skomra-OG: Deployer","846","-","0.0000%"
"48","0xc6b0562605d35ee710138402b878ffe6f2e23807","Beeple","840","-","0.0000%"
"49","0xc0fdd5d4d5cebd6e9d8f4b28071ff4b33441288e","","800","-","0.0000%"
"50","0xf916719c7251e109cf3d1a977b6cad198b630c32","moonnft6.eth","763","-","0.0000%"